NIM;Nama;Program Studi;Jalur Masuk;Asal Sekolah;Tahun_PMB;IPS Semester 1;Jumlah sks Semester Semester 1;IPK Semester 1;Jumlah sks Total Semester 1;IPS Semester 2;Jumlah sks Semester Semester 2;IPK Semester 2;Jumlah sks Total Semester 2;Target
1914901110042;2084;6;8;184;0;3.75;18.0;3.75;18.0;3.82;18.0;3.78;36.0;1
1914901110043;2196;6;8;184;0;3.75;18.0;3.75;18.0;3.82;18.0;3.78;36.0;1
1914901110044;2244;6;8;184;0;4.0;18.0;4.0;18.0;3.87;18.0;3.93;36.0;1
1914901110045;2105;6;8;184;0;3.75;18.0;3.75;18.0;3.87;18.0;3.81;36.0;1
1914901110046;2444;6;13;184;4;3.82;18.0;3.82;18.0;3.83;18.0;3.83;36.0;1
1914901110047;2453;6;8;184;0;3.75;18.0;3.75;18.0;3.85;18.0;3.8;36.0;1
1914901110048;2468;6;8;184;0;3.32;18.0;3.32;18.0;3.78;18.0;3.55;36.0;1
1914901110049;2546;6;8;184;0;3.65;18.0;3.65;18.0;3.88;18.0;3.77;36.0;1
1914901110050;2596;6;8;184;0;3.75;18.0;3.75;18.0;3.85;18.0;3.8;36.0;1
1914901110051;2628;6;8;184;0;3.82;18.0;3.82;18.0;3.78;18.0;3.8;36.0;1
1914901110052;2848;6;8;184;0;4.0;18.0;4.0;18.0;3.85;18.0;3.93;36.0;1
1914901110053;2926;6;8;184;0;3.75;18.0;3.75;18.0;3.78;18.0;3.77;36.0;1
1914901110054;2931;6;2;184;1;3.75;18.0;3.75;18.0;3.95;18.0;3.85;36.0;1
1914901110055;2965;6;8;184;1;3.82;18.0;3.82;18.0;3.78;18.0;3.8;36.0;1
1914901110056;2968;6;8;184;0;3.75;18.0;3.75;18.0;3.85;18.0;3.8;36.0;1
1914901110057;2922;6;8;184;0;3.88;18.0;3.88;18.0;3.82;18.0;3.85;36.0;1
1914901110058;3190;6;8;184;0;3.75;18.0;3.75;18.0;3.78;18.0;3.71;36.0;1
1914901110059;3217;6;8;184;4;3.75;18.0;3.75;18.0;3.82;18.0;3.78;36.0;1
1914901110060;3227;6;8;184;0;3.65;18.0;3.65;18.0;2.38;18.0;3.01;36.0;1
1914901110061;3254;6;8;184;0;3.75;18.0;3.75;18.0;3.88;18.0;3.82;36.0;1
1914901110062;3362;6;8;184;0;1.33;18.0;1.33;18.0;3.82;18.0;2.58;36.0;0
1914901110063;3384;6;8;184;0;3.75;18.0;3.75;18.0;3.95;18.0;3.85;36.0;1
1914901110064;3399;6;8;184;0;3.77;18.0;3.77;18.0;3.78;18.0;3.78;36.0;1
1914901110065;3421;6;15;184;6;3.75;18.0;3.75;18.0;3.78;18.0;3.77;36.0;1
1914901110066;3422;6;8;184;0;3.75;18.0;3.75;18.0;3.85;18.0;3.8;36.0;1
1914901110067;3437;6;8;184;0;3.75;18.0;3.75;18.0;3.85;18.0;3.8;36.0;1
1914901110069;3476;6;8;184;0;3.88;18.0;3.88;18.0;3.88;18.0;3.88;36.0;1
1914901110070;3551;6;8;184;0;3.75;18.0;3.75;18.0;3.78;18.0;3.77;36.0;1
1914901110071;3571;6;8;184;4;3.75;18.0;3.75;18.0;3.82;18.0;3.78;36.0;1
1914901110072;3613;6;8;184;0;3.75;18.0;3.75;18.0;3.88;18.0;3.82;36.0;1
1914901110073;3639;6;8;184;0;3.75;18.0;3.75;18.0;3.82;18.0;3.78;36.0;1
1914901110074;3751;6;8;184;0;3.77;18.0;3.77;18.0;3.88;18.0;3.83;36.0;1
1914901110075;3770;6;8;184;0;3.88;18.0;3.88;18.0;3.82;18.0;3.85;36.0;1
1914901110076;3780;6;8;184;0;3.75;18.0;3.75;18.0;3.85;18.0;3.8;36.0;1
1914901110077;4116;6;8;184;0;3.82;18.0;3.82;18.0;3.82;18.0;3.82;36.0;1
1914901110078;4143;6;8;184;0;3.82;18.0;3.82;18.0;3.88;18.0;3.85;36.0;1
1914901110079;4235;6;8;184;0;3.75;18.0;3.75;18.0;3.85;18.0;3.8;36.0;1
1914901110080;4245;6;8;184;0;3.88;18.0;3.88;18.0;3.83;18.0;3.86;36.0;1
1914901110081;4257;6;8;184;0;3.75;18.0;3.75;18.0;3.92;18.0;3.83;36.0;1
1914901110082;4272;6;8;184;0;3.88;18.0;3.88;18.0;3.85;18.0;3.87;36.0;1
1914901110083;977;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;2.72;17.0;2.72;17.0;0
1914901110084;1409;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;2.78;17.0;3.63;17.0;1
1914901110085;1437;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;2.46;17.0;2.46;17.0;0
1914901110086;1649;6;8;184;1;0.0;20.35910878112713;3.443432379287743;0.0;2.83;17.0;2.83;17.0;1
1914901110087;1738;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;2.78;17.0;2.78;17.0;1
1914901110088;1964;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;2.72;17.0;2.72;17.0;0
1914901110089;2576;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;2.72;17.0;2.72;17.0;0
1914901110090;2855;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;2.83;17.0;2.83;17.0;1
1914901210091;88;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.52;17.0;3.52;17.0;1
1914901210092;219;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.7;17.0;3.7;17.0;1
1914901210093;219;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.65;17.0;3.65;17.0;1
1914901210094;301;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.47;17.0;3.47;17.0;1
1914901210095;318;6;8;184;3;0.0;20.35910878112713;3.443432379287743;0.0;3.59;17.0;3.59;17.0;1
1914901210096;350;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.65;17.0;3.65;17.0;1
1914901210097;418;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.72;17.0;3.72;17.0;1
1914901210098;429;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.77;17.0;3.77;17.0;1
1914901210099;461;6;8;184;0;0.0;20.35910878112713;3.443432379287743;0.0;3.77;17.0;3.77;17.0;1
